"org_id","supplier_name"
159,"Beaumont - Cherry Valley Water District"
193,"City Of Beverly Hills"
197,"Big Bear Community Services District"
198,"City Of Big Bear Lake"
264,"City Of Brentwood"
285,"City Of Burbank"
351,"Calaveras County Water District"
368,"California American Water Company - Los Angeles Division"
369,"California American Water Company - Monterey District"
372,"California American Water Company - Sacramento District"
373,"California American Water Company - San Diego District"
376,"California American Water Company - Ventura District"
384,"California Water Service Company Antelope Valley"
386,"California Water Service Company Bakersfield"
387,"California Water Service Company Bear Gulch"
388,"California Water Service Company Chico District"
390,"City Of California Water Service Company Dixon"
391,"California Water Service Company Dominguez"
392,"California Water Service Company East Los Angeles"
396,"California Water Service Company Hermosa - Redondo"
397,"California Water Service Company Kern River Valley"
398,"California Water Service Company King City"
401,"California Water Service Company Livermore"
402,"California Water Service Company Los Altos - Suburban"
405,"California Water Service Company Marysville"
420,"California Water Service Company Mid Peninsula"
412,"California Water Service Company Oroville"
413,"California Water Service Company Palos Verdes"
416,"California Water Service Company Redwood Valley"
417,"California Water Service Company Salinas District"
421,"California Water Service Company Selma"
422,"California Water Service Company South San Francisco"
424,"California Water Service Company Stockton"
427,"California Water Service Company Visalia"
428,"California Water Service Company Westlake"
429,"California Water Service Company Willows"
433,"Calleguas Municipal Water District"
443,"City Of Camarillo"
445,"Cambria Community Service District"
478,"Carlsbad Municipal Water District"
1050,"Casitas Municipal Water District - Ojai"
510,"Central Basin Municipal Water District"
514,"Central Coast Water Authority"
524,"City Of Cerritos"
546,"Chino Basin Desalter Authority"
575,"City Of Coachella"
577,"Coachella Valley Water District"
578,"City Of Coalinga"
607,"City Of Compton"
644,"City Of Covina"
649,"Crescent City"
651,"Crescenta Valley Community Water District"
654,"Crestline Village Water District"
673,"Daly City"
699,"Del Oro Water Company"
739,"Discovery Bay Community Services District"
2998,"City Of Dixon"
748,"City Of Downey"
775,"East Bay Municipal Utility District"
785,"East Orange County Water District"
816,"El Dorado Irrigation District"
821,"City Of El Monte"
827,"City Of El Segundo"
842,"Elsinore Valley Municipal Water District"
890,"City Of Fillmore"
904,"City Of Folsom"
909,"Foothill Municipal Water District"
1004,"City Of Glendale"
1005,"City Of Glendora"
1029,"Golden State Water Company - Artesia"
1030,"Golden State Water Company - Barstow"
1032,"Golden State Water Company - Bell - Bell Gardens"
1034,"Golden State Water Company - Claremont"
1036,"Golden State Water Company - Cordova"
1038,"Golden State Water Company - Culver City"
1041,"Golden State Water Company - Florence Graham"
1049,"Golden State Water Company - Norwalk"
1053,"Golden State Water Company - Placentia"
1054,"Golden State Water Company - San Dimas"
1058,"Golden State Water Company - South Arcadia"
1059,"Golden State Water Company - South San Gabriel"
1060,"Golden State Water Company - Southwest"
1062,"Golden State Water Company - West Orange"
1083,"Great Oaks Water Company Incorporated"
1109,"Groveland Community Services District"
1110,"City Of Grover Beach"
1142,"City Of Hawthorne"
1209,"Humboldt Bay Municipal Water District"
1217,"City Of Huntington Park"
1234,"Indian Wells Valley Water District"
1236,"City Of Indio"
1238,"City Of Inglewood"
1239,"Inland Empire Utilities Agency"
1273,"Jurupa Community Service District"
1288,"Kern County Water Agency Improvement District No 4"
1333,"City Of La Verne"
1352,"Lake Hemet Municipal Water District"
1370,"City Of Lakewood"
1384,"Las Virgenes Municipal Water District"
1869,"Liberty Utilities Park Water Corporation"
1425,"Lincoln Avenue Water Company"
1456,"City Of Lomita"
1459,"City Of Lompoc"
1464,"City Of Long Beach"
1473,"Los Angeles City Department Of Water And Power"
1481,"Los Angeles County Waterworks District 29 - Malibu & Marina Del Rey"
1484,"Los Angeles County Waterworks District 40 - Antelope Valley"
1506,"City Of Lynwood"
1533,"Mammoth Community Water District"
1536,"City Of Manhattan Beach"
3056,"City Of Mcfarland"
1587,"City Of Menlo Park"
1599,"Metropolitan Water District Of Southern California"
1632,"Modesto Irrigation District"
1635,"Mojave Water Agency"
1639,"City Of Monrovia"
1644,"Montebello Land And Water Company"
1650,"City Of Monterey Park"
1660,"City Of Morro Bay"
1684,"Municipal Water District Of Orange County Mwdoc"
1718,"Nevada Irrigation District"
1729,"City Of Newman"
1731,"Nipomo Community Service District"
1752,"North Tahoe Public Utilities District"
1756,"City Of Norwalk"
1792,"Olivehurst Public Utilities District"
1793,"Olivenhain Municipal Water District"
1795,"City Of Ontario"
1803,"Orangevale Water Company"
1827,"City Of Oxnard"
1838,"Padre Dam Municipal Water District"
1866,"City Of Paramount"
1873,"City Of Pasadena"
1875,"City Of Paso Robles"
1899,"City Of Pico Rivera"
1923,"City Of Pismo Beach"
1927,"Placer County Water Agency"
1945,"City Of Pomona"
1953,"City Of Port Hueneme"
1954,"Port Hueneme Water Agency"
2035,"City Of Redlands"
2037,"Redwood City"
2057,"Rincon Del Diablo Municipal Water District"
2107,"Rosamond Community Service District"
2118,"Rubidoux Community Service District"
2119,"Rubio Canyon Land And Water Association"
2130,"City Of Sacramento"
2132,"Sacramento County Water Agency"
2146,"San Antonio Water Company"
2149,"San Benito County Water District"
2150,"City Of San Bernardino"
2154,"San Bernardino County Service Area 64 Spring Valley Lake"
2891,"San Bernardino County Service Area 70 J Oak Hills"
2156,"San Bernardino Valley Municipal Water District"
2158,"City Of San Buenaventura"
2161,"San Diego County Water Authority"
2163,"City Of San Fernando"
2164,"San Francisco Public Utilities Commission"
3994,"San Gabriel Valley Municipal Water District"
2167,"San Gabriel Valley Water Company"
2166,"San Gabriel Valley Water Company Fontana Division"
2168,"San Gorgonio Pass Water Agency"
2174,"City Of San Jose"
2175,"San Jose Water Company"
2182,"City Of San Luis Obispo"
2184,"San Luis Obispo County Flood Control And Water Conservation"
2209,"City Of Santa Barbara"
2211,"Santa Clara Valley Water District"
4993,"Santa Clarita Valley Water Agency"
2213,"City Of Santa Cruz"
2215,"City Of Santa Fe Springs"
2218,"City Of Santa Maria"
2220,"City Of Santa Monica"
2251,"Serrano Water District"
2290,"City Of Sierra Madre"
2298,"City Of Signal Hill"
2328,"Sonoma County Water Agency"
2337,"South Feather Water And Power"
2341,"City Of South Gate"
2343,"South Mesa Water Company"
2346,"South San Joaquin Irrigation District"
2348,"South Tahoe Public Utility District"
2382,"Stockton East Water District"
2401,"Suburban Water Systems - San Jose Hills"
2402,"Suburban Water Systems - Whittier - La Mirada"
2419,"Sunny Slope Water Company"
2438,"Sweetwater Springs Water District"
2444,"Tahoe City Public Utilities District"
2457,"Templeton Community Services District"
440,"Test Agency 3"
2466,"Thermalito Water And Sewer District"
2473,"Three Valleys Municipal Water District"
2487,"City Of Torrance"
2510,"Triunfo Sanitation District - Oak Park Water Service"
2512,"Truckee - Donner Public Utilities District"
2523,"Tuolumne Utilities District"
2540,"United Water Conservation District"
2543,"Upper San Gabriel Valley Municipal Water"
2604,"Valley Center Municipal Water District"
2618,"Valley Water Company"
2626,"Vaughn Water Company"
2629,"Ventura County Waterworks District No 01 - Moorpark"
2631,"Ventura County Waterworks District No 08 - Simi Valley"
2633,"City Of Vernon"
2667,"Water Facilities Authority"
2675,"West Basin Municipal Water District"
2697,"Western Municipal Water District Of Riverside"
2723,"City Of Whittier"
4811,"Woodland - Davis Clean Water Agency"
2790,"Yuba City"
645,"Covina Irrigating Company"
378,"California City"
390,"California Water Service Company Dixon"
